name,population,total_area,closed_forest,cultivated,herbaceous_vegetation,herbaceous_wetland,open_forest,permanent_water,shrubs,urban,city_mean_elevation,city_elevation_delta,region_mean_elevation,region_elevation_delta,realm,latitude,longitude,city_includes_estuary,region_includes_estuary,pop1950,pop1955,pop1960,pop1965,pop1970,pop1975,pop1980,pop1985,pop1990,pop1995,pop2000,pop2005,pop2010,pop2015,pop2020,country_code,biome_name,number_of_biomes
Accra,4424295,85209.0766863909,0.00143100694867537,0.0383834797520611,0.0587572490153582,0.0144846812621006,0.0140421707222855,0.0190832158604073,0.017808900124566,0.822085474078703,32.8210152119612,121,0.0,701,Afrotropic,5.55,-0.2,true,true,180,260,390,500,630,740,860,1010,1200,1420,1670,1980,2120,2330,2690,GH,"Tropical & Subtropical Grasslands, Savannas & Shrublands",2
Addis Ababa,3835602,39212.25986541,0.00859518361349299,0.157676970140833,0.0832978047833693,3.10509792836432e-05,0.0514973191032244,0.0,0.00894170864875872,0.689811034836669,2427.43696352894,412,0.0,2286,Afrotropic,9.02,38.7,false,false,390,450,520,600,730,930,1180,1480,1790,2160,2490,2900,3100,3450,4180,ET,Montane Grasslands & Shrublands,1
Agra,2421647,20953.2266960227,0.000697188523709214,0.372496770181028,0.0227285528415237,0.00893291275342012,0.0190408158347539,0.0,0.00199798619548983,0.56977052060439,182.728398916998,15,0.0,153,Indomalayan,27.18,78.02,false,false,370,430,500,560,620,680,740,830,930,1100,1290,1510,1590,1700,1900,IN,Tropical & Subtropical Moist Broadleaf Forests,1
Ahmedabad,6671671,36219.3137298896,0.000956490784890573,0.227567226298401,0.0119011972007709,0.0105909283321719,0.010129287729536,0.00125976835083149,0.00132975548143324,0.729569910327731,61.0,0,0.0,442,Indomalayan,23.03,72.56,false,true,860,1010,1180,1410,1700,2050,2480,2860,3260,3790,4430,5120,5380,5730,6320,IN,Tropical & Subtropical Dry Broadleaf Forests,2
Amman,3680236,55076.4737051156,1.14009846974245e-05,0.129853227915296,0.16456886844051,0.0,0.0036034780467649,5.21480017550359e-05,0.0163091852979036,0.63437773169894,793.067331663459,343,0.0,1650,Palearctic,31.94,35.93,false,true,90,140,220,300,390,500,640,740,850,970,1010,1040,1060,1110,1180,JO,"Mediterranean Forests, Woodlands & Scrub",2
Ankara,2995915,37815.5300065411,0.00577040041117515,0.0554232783241243,0.169978096884819,8.91374034833753e-05,0.0242366180952942,0.00127139366087133,0.00488851166620729,0.736983005339914,1027.14338950207,587,0.0,1416,Palearctic,39.92,32.85,false,false,280,440,640,950,1340,1710,1890,2210,2560,2840,3180,3570,3720,3910,4180,TU,Temperate Broadleaf & Mixed Forests,1
Antananarivo,2148091,25742.0302101363,6.93920602421047e-05,0.347319235043698,0.0730618117260063,0.0140984256982474,0.00253281019883682,0.00988415063574011,0.00145560051072556,0.551092829704809,1380.37129977253,182,0.0,1646,Afrotropic,-18.9,47.52,false,false,180,190,250,300,360,450,580,740,950,1170,1360,1590,1700,1880,2230,MA,Tropical & Subtropical Moist Broadleaf Forests,1
Athens,3314764,43702.2978121864,0.0197848013844006,0.0152263276324054,0.0329042583175159,0.000453712258688047,0.0332712870699179,0.00241006836431782,0.0306568257812205,0.788981319787798,231.415633438622,411,0.0,1358,Palearctic,37.94,23.65,false,true,1350,1560,1810,2120,2480,2740,2990,3050,3070,3120,3180,3230,3240,3260,3280,GR,"Mediterranean Forests, Woodlands & Scrub",1
Bamako,2969125,33025.7998238179,8.63126231929351e-05,0.0287128813410161,0.0838078647159637,0.0347361485163819,0.0310449017446432,0.0400551498172767,0.0408710015536271,0.740016901478372,388.42004625322,60,0.0,336,Afrotropic,12.65,-7.98,false,false,90,110,130,160,220,360,490,610,750,910,1110,1370,1490,1710,2130,ML,"Tropical & Subtropical Grasslands, Savannas & Shrublands",1
Bangkok,14765469,259318.576234489,0.00493965039962415,0.129496066186949,0.00565673820782334,0.0161341198449582,0.0633502954443047,0.0161097377207929,0.00167449539713747,0.756648352650176,1.4073148726623,30,0.0,1067,Indomalayan,13.75,100.51,true,true,1360,1710,2150,2580,3110,3840,4720,5280,5890,6110,6330,6580,6700,6920,7330,TH,Tropical & Subtropical Moist Broadleaf Forests,2
