percentage_of_regional_pool_present,difference_from_locality_trait_gravity,percentage_of_niches_present,latitude,longitude,closed_forest,cultivated,herbaceous_vegetation,herbaceous_wetland,open_forest,permanent_water,shrubs,urban,mean_elevation,elevation_delta,average_population_density,city_name,continent,realm,biome,national_gdp_estimate_thousand_dollars_per_person,national_income_group,locality_id
20.274611398963728,0.7644337961349409,31.782608695652158,25.169707,55.432797,0,0.0296820079880056,0.00906105826618149,0,0.0104513181861362,7.37259048460843e-4,0.00670637264417855,0.38516312630879,56.643792746568,15,130.950976216053,Dubai,Asia,Palearctic,Deserts & Xeric Shrublands,109.873,2. High income: nonOECD,L1000889
14.47647058823529,0.767558329179754,17.80769230769231,48.8613661,2.3933284,0.0286389571787259,0.00981736878803453,0.00847565080851166,9.59585874424538e-4,0.0313173736983557,0.00626644275602142,0,0.914524620895926,69.6611538665677,51,1328.78457067653,Paris,Europe,Palearctic,Temperate Broadleaf & Mixed Forests,40.22,1. High income: OECD,L1001126
14.665662650602407,0.0768353742204529,29.028985507246368,22.6089526,88.4782072,0.0138686206665395,0.380927273321061,0.00881517271963162,0.037907305326231,0.158976487716168,0.00424300552957213,0.00319149301885074,0.39152275512607,0,0,336.656448331198,Kolkata,Asia,Indomalayan,Tropical & Subtropical Moist Broadleaf Forests,6.803,4. Lower middle income,L10047939
19.587349397590366,0.4296321274891634,37.24637681159421,22.423221,88.386493,0.0797880109872354,0.176220606452308,2.1974470835353e-4,0.058238810793343,0.410916141541444,0,0,0.274616685517316,0,0,519.881008101799,Kolkata,Asia,Indomalayan,Tropical & Subtropical Moist Broadleaf Forests,6.803,4. Lower middle income,L10048384
7.665662650602411,0.31373113726264595,14.97101449275362,22.5956822,88.3731699,5.47992306617813e-4,0.0259928868449611,0.00554654173874735,0.00372634768500113,0.00322993112488852,0.0693289780480728,2.19196922647125e-4,0.887462580721416,0,0,2406.27295391999,Kolkata,Asia,Indomalayan,Tropical & Subtropical Moist Broadleaf Forests,6.803,4. Lower middle income,L10092674
9.4761904761904745,0.7555878291716465,19.475409836065577,32.0683265,34.8423708,0.00298733370509042,0.132815408124099,0.0187673355880159,0,0.00887220005359095,8.75560351382864e-4,0.0103803509483427,0.825024803922279,-1.95679285592206,24,531.898452362342,Tel Aviv,Asia,Palearctic,"Mediterranean Forests, Woodlands & Scrub",35.784,1. High income: OECD,L10094876
9.48458904109589,0.5109916371540666,27.28235294117647,10.4929178,-66.8392968,0.228959104834448,0,0.0449615736380141,0,0.0971028609650175,0,0.010144325554457,0.618832135008064,1002.59618608041,411,544.674837171668,Caracas,South America,Neotropic,Deserts & Xeric Shrublands,14.969,3. Upper middle income,L1009605
18.481927710843372,0.18109947913222998,31.07246376811594,22.6134166,88.4605396,0.00824182080603211,0.283486237349486,0.00888978836640417,0.0141130600268039,0.118288884391501,0.00175312178137798,0.00601604364241987,0.557019641409252,0,0,1077.93654712641,Kolkata,Asia,Indomalayan,Tropical & Subtropical Moist Broadleaf Forests,6.803,4. Lower middle income,L10147306
7.619444444444445,0.5643672241258485,15.000000000000005,18.5448805,73.9268156,0.00161804817160557,0.306311022397957,0.0432182026340193,0.00981525243817651,0.0231625635321856,0.00127132356340437,0.0082230386491428,0.604531350703103,613.801452426854,137,1102.6622633425,Pune,Asia,Indomalayan,Tropical & Subtropical Dry Broadleaf Forests,6.803,4. Lower middle income,L10163637
14.343915343915347,0.843412283425443,27.540000000000006,41.9124974,12.4845886,0.0780000027923562,0.0265932835456222,0.0219266978572855,0.00448592024192974,0.0710956228420322,9.25666081668042e-4,0.0279908578257877,0.768981948813319,35.9315200387834,81,500.303746275083,Rome,Europe,Palearctic,"Mediterranean Forests, Woodlands & Scrub",35.743,1. High income: OECD,L1017789
24.98639455782312,0.10217012771505052,36.02941176470588,-34.4981659,-58.4773787,0,0.00253268343203778,0.0247459781877563,0.00131000867174368,0.00628804162436966,2.62001734348736e-4,2.62001734348736e-4,0.440464986293713,-6.26934720141617,10,439.927436844139,Buenos Aires,South America,Neotropic,"Temperate Grasslands, Savannas & Shrublands",19.854,3. Upper middle income,L10182830
18.729411764705883,0.10808784923984596,32.59615384615386,48.9150161,2.3270581,0.00122168723500167,0.00227678075613947,0.0103150907772413,0.00905159178660325,0.0193854107460567,0.0105324247987265,0,0.947217013900231,60.5502473680897,28,991.248790997391,Paris,Europe,Palearctic,Temperate Broadleaf & Mixed Forests,40.22,1. High income: OECD,L10229931
