percentage_of_regional_pool_present,difference_from_locality_trait_gravity,percentage_of_niches_present,percentage_of_niches_2_present,percentage_of_niches_3_present,latitude,longitude,closed_forest,cultivated,herbaceous_vegetation,herbaceous_wetland,open_forest,permanent_water,shrubs,urban,mean_elevation,elevation_delta,average_population_density,city_name,continent,realm,biome,national_gdp_estimate_thousand_dollars_per_person,national_income_group,locality_id
24.610062893081764,0.8203278416137001,34.199999999999996,40.49999999999999,28.140350877192983,25.169707,55.432797,0,0.0296820079880056,0.00906105826618149,0,0.0104513181861362,7.37259048460843e-4,0.00670637264417855,0.38516312630879,56.643792746568,15,130.950976216053,Dubai,Asia,Palearctic,Deserts & Xeric Shrublands,109.873,2. High income: nonOECD,L1000889
16.85616438356164,0.6918843854824752,20.93877551020408,22.304347826086957,19,48.8613661,2.3933284,0.0286389571787259,0.00981736878803453,0.00847565080851166,9.59585874424538e-4,0.0313173736983557,0.00626644275602142,0,0.914524620895926,69.6611538665677,51,1328.78457067653,Paris,Europe,Palearctic,Temperate Broadleaf & Mixed Forests,40.22,1. High income: OECD,L1001126
20.54430379746836,0.27505242889641074,38.920634920634924,39.98245614035088,36.32467532467533,22.6089526,88.4782072,0.0138686206665395,0.380927273321061,0.00881517271963162,0.037907305326231,0.158976487716168,0.00424300552957213,0.00319149301885074,0.39152275512607,0,0,336.656448331198,Kolkata,Asia,Indomalayan,Tropical & Subtropical Moist Broadleaf Forests,6.803,4. Lower middle income,L10047939
27.438818565400844,0.244458849085142,45.71428571428572,49.824561403508774,43.142857142857146,22.423221,88.386493,0.0797880109872354,0.176220606452308,2.1974470835353e-4,0.058238810793343,0.410916141541444,0,0,0.274616685517316,0,0,519.881008101799,Kolkata,Asia,Indomalayan,Tropical & Subtropical Moist Broadleaf Forests,6.803,4. Lower middle income,L10048384
10.738396624472577,0.17227779291237472,21.07936507936508,23.29824561403509,18.584415584415584,22.5956822,88.3731699,5.47992306617813e-4,0.0259928868449611,0.00554654173874735,0.00372634768500113,0.00322993112488852,0.0693289780480728,2.19196922647125e-4,0.887462580721416,0,0,2406.27295391999,Kolkata,Asia,Indomalayan,Tropical & Subtropical Moist Broadleaf Forests,6.803,4. Lower middle income,L10092674
10.805429864253396,0.7909684917581338,20.41176470588235,23.93103448275862,18.6,32.0683265,34.8423708,0.00298733370509042,0.132815408124099,0.0187673355880159,0,0.00887220005359095,8.75560351382864e-4,0.0103803509483427,0.825024803922279,-1.95679285592206,24,531.898452362342,Tel Aviv,Asia,Palearctic,"Mediterranean Forests, Woodlands & Scrub",35.784,1. High income: OECD,L10094876
13.914572864321608,0.8061540432814762,37.25757575757575,37.444444444444436,34.526315789473685,10.4929178,-66.8392968,0.228959104834448,0,0.0449615736380141,0,0.0971028609650175,0,0.010144325554457,0.618832135008064,1002.59618608041,411,544.674837171668,Caracas,South America,Neotropic,Deserts & Xeric Shrublands,14.969,3. Upper middle income,L1009605
25.518987341772153,0.05540730050219076,39.698412698412696,41.3859649122807,39.4025974025974,22.6134166,88.4605396,0.00824182080603211,0.283486237349486,0.00888978836640417,0.0141130600268039,0.118288884391501,0.00175312178137798,0.00601604364241987,0.557019641409252,0,0,1077.93654712641,Kolkata,Asia,Indomalayan,Tropical & Subtropical Moist Broadleaf Forests,6.803,4. Lower middle income,L10147306
9.93840579710145,0.4414159508804003,18.23611111111111,20.515625,15.922222222222222,18.5448805,73.9268156,0.00161804817160557,0.306311022397957,0.0432182026340193,0.00981525243817651,0.0231625635321856,0.00127132356340437,0.0082230386491428,0.604531350703103,613.801452426854,137,1102.6622633425,Pune,Asia,Indomalayan,Tropical & Subtropical Dry Broadleaf Forests,6.803,4. Lower middle income,L10163637
20.853846153846156,0.8425861506667652,30.239130434782602,33.11904761904761,26.264150943396228,41.9124974,12.4845886,0.0780000027923562,0.0265932835456222,0.0219266978572855,0.00448592024192974,0.0710956228420322,9.25666081668042e-4,0.0279908578257877,0.768981948813319,35.9315200387834,81,500.303746275083,Rome,Europe,Palearctic,"Mediterranean Forests, Woodlands & Scrub",35.743,1. High income: OECD,L1017789
