explanatory,niche_resiliance_merlin_estimate,niche_resiliance_merlin_p,model,niche_resiliance_birdlife_estimate,niche_resiliance_birdlife_p,niche_resiliance_both_estimate,niche_resiliance_both_p,niche_resiliance_either_estimate,niche_resiliance_either_p,niche_2_resiliance_merlin_estimate,niche_2_resiliance_merlin_p,niche_2_resiliance_birdlife_estimate,niche_2_resiliance_birdlife_p,niche_2_resiliance_both_estimate,niche_2_resiliance_both_p,niche_2_resiliance_either_estimate,niche_2_resiliance_either_p,niche_3_resiliance_merlin_estimate,niche_3_resiliance_merlin_p,niche_3_resiliance_birdlife_estimate,niche_3_resiliance_birdlife_p,niche_3_resiliance_both_estimate,niche_3_resiliance_both_p,niche_3_resiliance_either_estimate,niche_3_resiliance_either_p
closed_forest,-4.798821596706528,0,full,-4.694855231910943,0,-5.095901752187624,0,-4.669114716473441,0,-3.882035630312176,0,-3.7136787522427515,3e-7,-3.892946544667975,2e-7,-3.9794620328067123,0,-4.527487865492042,0,-4.741871495531551,0,-5.222492479630318,0,-4.1988635382105075,0
cultivated,-2.554576498770774,0.0054588,full,-1.8383063503885855,0.0689246,-2.7960856528780367,0.0059669,-2.232817826221053,0.010553,-2.5159561925880194,0.0082,-1.1071392363789712,0.2882875,-2.5780711384444155,0.0123869,-2.0983518851944387,0.0204626,-0.6495903116790692,0.4467306,-0.09549028167946176,0.8750168,-0.7188646626416607,0.4451958,-0.27804420450037637,0.6660873
elevation_delta_scaled,-1.000203607656872,0.2228981,full,-0.37130883666058223,0.5618297,-0.5769307502503818,0.4510684,-0.7455890034068262,0.3184893,-1.0461002262077266,0.2186009,-0.29711020090918316,0.6253951,-0.4809652178535499,0.5111639,-0.7333157400760724,0.3383629,-0.768494687754457,0.3050073,-0.34602721508419704,0.5627524,-0.46047930033410106,0.5054962,-0.636450150856535,0.3555635
herbaceous_vegetation,-0.6653964913508557,0.4840157,full,-0.4809821739787452,0.6015631,-1.330626326329382,0.27124,-0.31867983258431937,0.6750345,-0.3465462208484188,0.6784308,-0.18683742463646855,0.8161956,-0.6206376912800645,0.5420945,-0.22575573587535022,0.7614347,-0.7605402924699952,0.4254193,-0.7895147060956252,0.4253064,-1.8097219283000758,0.1154945,-0.29437452453638685,0.6800105
herbaceous_wetland,36.36100569628244,0,full,39.89244412936937,0,41.91724212753454,0,34.12824002687704,0,29.891599227061256,0,32.347015037085555,0,33.52359056276549,0,28.054891438028907,0,38.16199955596472,0,41.49827438485194,0,44.14058934819098,0,36.13035982801612,0
mean_elevation_scaled,4.014320096161345,0.0208813,full,2.234573503700215,0.1668277,3.4252613211714706,0.0535121,3.0397402952328947,0.0446759,5.199865762510238,0.004949,3.016624305591175,0.0628345,4.08594268056054,0.0282883,4.025949907852576,0.0139502,3.763991962322429,0.0184624,2.70372619580041,0.0565044,3.772452673018007,0.021604,2.8706860467425326,0.0381155
realmAfrotropic,-0.31658533568933594,0.8176945,full,0.6340537728440955,0.5883952,1.2166274265593109,0.3809382,-0.10964567277883999,0.9250513,-2.4482821874573455,0.1001668,-0.31355950776777974,0.78280400000000006,0.32731920246580687,0.8277101,-1.7439169863921529,0.1753566,-0.08025110522370323,0.9488348,0.20208609698322505,0.8434066,0.1000471934711116,0.937647,0.2833068007440224,0.7892835
realmAustralasia,2.1858509246244457,0.3127366,full,3.068812602780818,0.0772451,1.2724431033495565,0.5529504,2.191587800688456,0.2197095,1.1116573129213243,0.6389916,1.649718629285907,0.3942283,0.4854288357048473,0.8371647,0.5837715122121931,0.7708674,2.509354794727636,0.1993096,1.7582107150258564,0.2744852,1.5154455739753308,0.4379017,1.8281832271464107,0.2546418
realmIndomalayan,2.0092909505465095,0.0186207,full,1.5803465761425,0.0256682,2.8761051643051188,7.722e-4,1.2867575582240673,0.0718647,0.13284444234174006,0.8864105,0.1615495417372578,0.8162612,1.600432810966677,0.0865966,-0.3461785684070902,0.6634397,2.223462130705706,0.0040764,1.149145911094394,0.1097536,2.0059192564469117,0.0104775,1.6533013620312464,0.0102193
realmNearctic,2.7543968020423852,0.0043765,full,2.2109199656766836,0.0041883,2.8955875413690118,0.0024264,1.9022938111826333,0.0166612,1.6243801423435171,0.1252288,0.2407957649169249,0.7555573,1.6486611706927057,0.1176047,0.25641294185234503,0.7740616,1.5795552293943158,0.0700353,0.8587747670955993,0.2356895,1.5707503779244987,0.0706526,1.0159209700031904,0.1544341
realmNeotropic,1.7668300706135165,0.0802937,full,1.7192392334701283,0.0421088,2.702942918468034,0.0077,1.0554280891902852,0.2134107,-0.9469959436647339,0.3889514,-0.5378366558452522,0.5358489,0.4748755093625718,0.667494,-1.6427653337830874,0.0813064,2.2212520008341983,0.0154577,1.1469312742497229,0.1640371,2.3613020313401463,0.0111392,1.3195139293173763,0.0857146
shrubs,-7.054416830729566,1e-7,full,-8.958682665778117,0,-9.91697574637735,0,-6.8404083969367155,0,-7.250779008913549,1e-7,-9.087722559100659,0,-9.935142155024746,0,-7.23157998108923,0,-6.678519318303371,1e-7,-8.546236538895002,0,-9.744738845839493,0,-6.066981013775863,3e-7
urban,-6.1202873095884405,0,full,-6.44439813212331,0,-6.797573329636798,0,-5.871636878275836,0,-5.364990659761468,0,-5.51776208921391,0,-5.734298356816882,0,-5.2037781850778595,0,-5.598425297800264,0,-6.234391976626173,0,-6.639510117946381,0,-5.389674477390933,0
open_forest,-0.021533209351130313,0.9714525,full,-1.572308005700053,0.1348273,-1.2977936870540083,0.2386045,-0.302946492796967,0.6555417,0.4451858191552458,0.5783348,-1.1461724408107972,0.2705475,-0.7205404485447635,0.459551,-0.054835903238663615,0.9272581,-1.6124342799386766,0.0800533,-2.870695057288865,0.0012792,-2.9700832487194138,0.0018766,-1.81088207915904,0.0260615
permanent_water,0.17486123774496057,0.7103271,full,-0.21348786536489628,0.6809777,-0.294810865203048,0.6218638,0.19926135536892695,0.6718172,0.05067770665874418,0.9047719,-0.11487025435189915,0.8044385,-0.17706904858144748,0.7397024,0.06606177996066998,0.8714761,0.33093683412203284,0.5495698,-0.09001578548373787,0.8292624,-0.1004045571324522,0.825092,0.25972604164094637,0.5965047
closed_forest,-4.798821596706528,0,subset,-4.694855231910943,0,-5.095901752187624,0,-4.669114716473441,0,-3.882035630312176,0,-3.7136787522427515,3e-7,-3.892946544667975,2e-7,-3.9794620328067123,0,-4.527487865492042,0,-4.741871495531551,0,-5.222492479630318,0,-4.1988635382105075,0
cultivated,-2.554576498770774,0.0054588,subset,-1.9127911835663978,0.0461691,-2.7960856528780367,0.0059669,-2.232817826221053,0.010553,-2.5159561925880194,0.0082,-1.4176776165366276,0.146168,-2.5780711384444155,0.0123869,-2.0983518851944387,0.0204626,-1.02651378673835,0.2405029,-0.21631403209368827,0.8099199,-1.0989138032001857,0.2564474,-0.5671520283683559,0.4925092
elevation_delta_scaled,-1.2797434877897524,0.0714062,subset,-0.7361864961320926,0.3180418,-0.9569548045199574,0.2198709,-1.0780719060988242,0.1077529,-1.3271601179615002,0.0720298,-0.6112272195161814,0.4181318,-0.8521415695271273,0.2841955,-1.080044671868685,0.1226865,-1.0849080417428003,0.1054774,-0.6876118609223665,0.3186585,-0.825626121083242,0.2681833,-0.9723115311866202,0.1234917
