"LOCALITY_ID","SAMPLE_ID"
"L5036352","0"
"L4636900","0"
"L7102000","0"
"L2433781","0"
"L3951035","0"
"L8438738","0"
"L937843","0"
"L921977","0"
"L921984","0"
"L5416874","0"
"L5899186","0"
"L1272707","0"
"L5073919","0"
"L3563533","0"
"L918143","0"
"L4060755","0"
"L915354","0"
"L5128622","0"
"L1903842","0"
"L7570269","0"
"L8563408","0"
"L6846776","0"
"L1121783","0"
"L3584984","0"
"L5283399","0"
"L8823447","0"
"L6979832","0"
"L8536528","0"
"L8013820","0"
"L2364235","0"
"L8678547","0"
"L6281979","0"
"L2372575","0"
"L6956897","0"
"L4901220","0"
"L5916339","0"
"L8236882","0"
"L6237072","0"
"L1930975","0"
"L5283432","0"
"L3586195","0"
"L2723786","0"
"L8536708","0"
"L8236885","0"
"L5010212","0"
"L6490318","0"
"L3563555","0"
"L10388053","0"
"L6608077","0"
"L5882634","0"
"L8237351","0"
"L8236879","0"
"L5310080","0"
"L3950780","0"
"L10656843","0"
"L983092","0"
"L966038","0"
"L8278361","0"
"L8440865","0"
"L10508481","0"
"L4200658","0"
"L494684","0"
"L4182280","0"
"L4678864","0"
"L7250591","0"
"L4750100","0"
"L4736564","0"
"L8308423","0"
"L3350438","0"
"L8076604","0"
"L2630094","0"
"L2514991","0"
"L4819228","0"
"L2829416","0"
"L3086071","0"
"L4832403","0"
"L4190920","0"
"L3290889","0"
"L3029205","0"
"L4996926","0"
"L3084497","0"
"L2678116","0"
"L2668285","0"
"L2607152","0"
"L2639131","0"
"L4819233","0"
"L3990904","0"
"L3286861","0"
"L3109996","0"
"L2594251","0"
"L9241863","0"
"L4789491","0"
"L2621731","0"
"L2930704","0"
"L8253269","0"
"L7337985","0"
"L2288055","0"
"L4334882","0"
"L4913698","0"
"L4404986","0"
"L3674049","0"
"L4373531","0"
"L2277513","0"
"L3542586","0"
"L2531818","0"
"L4886890","0"
"L6708291","0"
"L2986893","0"
"L8064559","0"
"L2677953","0"
"L2531730","0"
"L7504987","0"
"L2552158","0"
"L2549214","0"
"L2531748","0"
"L2040886","0"
"L2996510","0"
"L919153","0"
"L2551983","0"
"L2548508","0"
"L4819136","0"
"L11753878","0"
"L2550735","0"
"L2551367","0"
"L2549203","0"
"L2552306","0"
"L2021960","0"
"L2548502","0"
"L2550534","0"
"L2552489","0"
"L2797684","0"
"L2552773","0"
"L2531465","0"
"L2395131","0"
"L2551341","0"
"L2531429","0"
"L2081599","0"
"L2548650","0"
"L3071610","0"
"L2041660","0"
"L2547655","0"
"L2548350","0"
"L4484924","0"
"L2550564","0"
"L2551051","0"
"L2531709","0"
"L2552497","0"
"L5852381","0"
"L2548843","0"
