explanatory,richness_merlin_estimate,richness_merlin_error,richness_merlin_p,model,richness_birdlife_estimate,richness_birdlife_error,richness_birdlife_p,richness_both_estimate,richness_both_error,richness_both_p,richness_either_estimate,richness_either_error,richness_either_p
closed_forest,3.133841076505796,0.7500236228370281,2.94e-5,full,3.6855651823323345,0.8486707454734693,1.41e-5,4.2535756387857,0.9430901859108082,6.5e-6,2.7309563498161267,0.67767633319759,5.59e-5
cultivated,11.716842574065488,1.038845699508044,0,full,11.842293325483997,1.1502954460912775,0,14.077360050046833,1.2955392804102757,0,10.29636023260594,0.9231633074945185,0
elevation_delta_scaled,0.5131757640714443,0.8205859527901334,0.5317654,full,0.16559937126221222,0.7081935336296071,0.8151388,0.5687548229644832,0.9852356732317196,0.5637951,0.20170636732044658,0.5806950360457158,0.728358
herbaceous_vegetation,8.653100822382802,1.1548773059983102,0,full,10.231105674712113,1.3020349124995625,0,11.050650877244417,1.4505723428857837,0,7.80747094894882,1.042191666109087,0
herbaceous_wetland,10.78839149261351,3.3307731153965534,0.0012014,full,9.829169554448445,3.7695721694359556,0.0091305,14.361254052884119,4.187439306668348,6.056e-4,8.485270463589034,3.018460377973183,0.004943
mean_elevation_scaled,-4.7444451729094705,1.81372097084779,0.0089095,full,-3.7129291928489203,1.510540959132835,0.0139845,-5.575577810865036,2.0206831669615273,0.0058001,-3.4784131051424723,1.2717399851650106,0.0062423
open_forest,12.5527319666657,1.0507103625734018,0,full,15.766309431636385,1.1758563421255976,0,16.997522010412812,1.3127619441940173,0,11.761611111723672,0.9464318876478526,0
permanent_water,0.675438379944029,0.760013861663817,0.3741941,full,0.19574952342879715,0.5983958666049617,0.743605,0.38543738965857316,0.7555458869849045,0.6099899,0.43952485394476326,0.6249631500187812,0.4819184
realmAfrotropic,3.419209197641771,1.8567560058590715,0.0655875,full,-1.5147505753972785,1.415804622363592,0.2847395,1.7644128863715922,1.9430427518520743,0.3639116,0.041937923486922477,1.2035446037971427,0.9722071
realmAustralasia,-2.869637516981987,3.00937210665842,0.3403723,full,-3.0528615943667434,2.0815107911400506,0.1425268,-0.6610560100298134,3.0432204206830233,0.8280592,-1.4549914755466795,1.809403514120114,0.4213899
realmIndomalayan,-1.397730125840843,1.1703958328850623,0.2324523,full,-4.229932145840086,0.8527583045918928,7e-7,-3.1328642634953616,1.204202993307284,0.0092889,-2.7693177390401384,0.7322511779847498,1.56e-4
