jetz_scientific_name,city_count,region_count,presence_ratio,birdlife_v3_family_name,birdlife_v3_family_name_english
Amaurornis_phoenicurus,41,51,0.804,Rallidae,"Rails, crakes and allies"
Brachypteryx_montana,0,10,0.0,Turdidae,Thrushes
Butastur_indicus,3,22,0.136,Accipitridae,"Osprey, kites, hawks and eagles"
Caprimulgus_natalensis,0,3,0.0,Caprimulgidae,Nightjars
Coccycua_minuta,0,5,0.0,Cuculidae,Cuckoos
Cyphorhinus_thoracicus,0,1,0.0,Troglodytidae,Wrens
Hieraaetus_pennatus,14,51,0.275,Accipitridae,"Osprey, kites, hawks and eagles"
Lanius_meridionalis,0,2,0.0,Laniidae,Shrikes
Melithreptus_lunatus,2,2,1.0,Meliphagidae,Honeyeaters
Niltava_sundara,1,5,0.2,Muscicapidae,Chats and Old World flycatchers
Pachycephala_pectoralis,2,2,1.0,Pachycephalidae,Whistlers
Piprites_chloris,0,6,0.0,Pipridae,Manakins
Platalea_ajaja,6,15,0.4,Threskiornithidae,Ibises and spoonbills
Saroglossa_spiloptera,0,3,0.0,Sturnidae,Starlings
Spizella_passerina,21,24,0.875,Emberizidae,"Buntings, American sparrows and allies"
Aegithalos_caudatus,22,30,0.733,Aegithalidae,Long-tailed Tits
Branta_bernicla,6,16,0.375,Anatidae,"Ducks, geese and swans"
Calidris_temminckii,12,44,0.273,Scolopacidae,Sandpipers and allies
Wilsonia_canadensis,12,17,0.706,Parulidae,New World warblers
Chaetornis_striata,1,16,0.063,Sylviidae,Old World warblers
Tangara_ruficervix,0,4,0.0,Thraupidae,Tanagers
Nectarinia_superba,0,2,0.0,Nectariniidae,Sunbirds
Circus_cyaneus,16,86,0.186,Accipitridae,"Osprey, kites, hawks and eagles"
Saxicoloides_fulicatus,20,25,0.8,Muscicapidae,Chats and Old World flycatchers
Dysithamnus_mentalis,3,12,0.25,Thamnophilidae,Antbirds
Larus_ichthyaetus,3,24,0.125,Laridae,Gulls and terns
Ixos_malaccensis,0,2,0.0,Pycnonotidae,Bulbuls
Celeus_brachyurus,7,24,0.292,Picidae,Woodpeckers
Netta_rufina,5,21,0.238,Anatidae,"Ducks, geese and swans"
Pnoepyga_immaculata,0,1,0.0,Timaliidae,Babblers and parrotbills
Pseudocolopteryx_sclateri,0,1,0.0,Tyrannidae,Tyrant-flycatchers
Scotopelia_peli,0,2,0.0,Strigidae,Owls
Amandava_subflava,2,5,0.4,Estrildidae,"Waxbills, grass finches, munias and allies"
Syrigma_sibilatrix,2,3,0.667,Ardeidae,Herons and egrets
