jetz_scientific_name,city_count,region_count,presence_ratio,birdlife_v3_family_name,birdlife_v3_family_name_english
Grus_grus,2,24,0.083,Gruidae,Cranes
Grus_antigone,1,12,0.083,Gruidae,Cranes
Grus_canadensis,5,17,0.294,Gruidae,Cranes
Grus_virgo,0,8,0.0,Gruidae,Cranes
Athene_noctua,6,24,0.25,Strigidae,Owls
Ammomanes_phoenicura,5,14,0.357,Alaudidae,Larks
Calandrella_brachydactyla,0,30,0.0,Alaudidae,Larks
Mirafra_alopex,0,1,0.0,Alaudidae,Larks
Alauda_arvensis,15,42,0.357,Alaudidae,Larks
Lullula_arborea,3,18,0.167,Alaudidae,Larks
Galerida_deva,1,8,0.125,Alaudidae,Larks
Eremophila_alpestris,11,27,0.407,Alaudidae,Larks
Mirafra_erythroptera,4,16,0.25,Alaudidae,Larks
Mirafra_assamica,4,8,0.5,Alaudidae,Larks
Alauda_gulgula,9,31,0.29,Alaudidae,Larks
Mirafra_cantillans,0,4,0.0,Alaudidae,Larks
Calandrella_cheleensis,0,3,0.0,Alaudidae,Larks
Calandrella_rufescens,0,3,0.0,Alaudidae,Larks
Galerida_cristata,17,32,0.531,Alaudidae,Larks
Leptoptilos_javanicus,1,5,0.2,Ciconiidae,Storks
Ciconia_ciconia,3,31,0.097,Ciconiidae,Storks
Crotophaga_major,6,9,0.667,Cuculidae,Cuckoos
Jacana_jacana,9,15,0.6,Jacanidae,Jacanas
Metopidius_indicus,15,25,0.6,Jacanidae,Jacanas
Momotus_momota,2,6,0.333,Momotidae,Motmots
Otis_tarda,0,4,0.0,Otididae,Bustards
Coracias_benghalensis,14,28,0.5,Coraciidae,Rollers
Sapayoa_aenigma,0,1,0.0,Sapayoaidae,Sapayoa
Nothura_maculosa,1,2,0.5,Tinamidae,Tinamous
Crypturellus_transfasciatus,0,1,0.0,Tinamidae,Tinamous
Rhynchotus_rufescens,0,3,0.0,Tinamidae,Tinamous
Tinamus_major,0,3,0.0,Tinamidae,Tinamous
Tinamus_solitarius,1,3,0.333,Tinamidae,Tinamous
Trogon_rufus,0,5,0.0,Trogonidae,Trogons
Melanerpes_carolinus,11,11,1.0,Picidae,Woodpeckers
Sphyrapicus_nuchalis,4,12,0.333,Picidae,Woodpeckers
Sphyrapicus_varius,17,25,0.68,Picidae,Woodpeckers
Dendrocopos_major,22,26,0.846,Picidae,Woodpeckers
Sitta_canadensis,15,18,0.833,Sittidae,Nuthatches and Wallcreeper
Sitta_carolinensis,14,19,0.737,Sittidae,Nuthatches and Wallcreeper
Acridotheres_cinereus,5,7,0.714,Sturnidae,Starlings
Sturnus_pagodarum,14,25,0.56,Sturnidae,Starlings
Sturnus_philippensis,0,10,0.0,Sturnidae,Starlings
Sturnus_malabaricus,13,26,0.5,Sturnidae,Starlings
Acridotheres_cristatellus,14,20,0.7,Sturnidae,Starlings
Acridotheres_tristis,49,52,0.942,Sturnidae,Starlings
Acridotheres_ginginianus,13,20,0.65,Sturnidae,Starlings
Sturnus_unicolor,3,3,1.0,Sturnidae,Starlings
Sarcops_calvus,1,1,1.0,Sturnidae,Starlings
Sturnus_vulgaris,46,73,0.63,Sturnidae,Starlings
Acridotheres_fuscus,10,19,0.526,Sturnidae,Starlings
Sturnus_contra,19,25,0.76,Sturnidae,Starlings
Sturnus_roseus,14,33,0.424,Sturnidae,Starlings
Numida_meleagris,2,11,0.182,Numididae,Guineafowl
Pycnonotus_aurigaster,7,12,0.583,Pycnonotidae,Bulbuls
Iole_indica,0,4,0.0,Pycnonotidae,Bulbuls
Pycnonotus_blanfordi,3,3,1.0,Pycnonotidae,Bulbuls
Hypsipetes_mcclellandii,2,11,0.182,Pycnonotidae,Bulbuls
Pycnonotus_cafer,29,30,0.967,Pycnonotidae,Bulbuls
Pycnonotus_leucotis,6,11,0.545,Pycnonotidae,Bulbuls
Pycnonotus_goiavier,7,7,1.0,Pycnonotidae,Bulbuls
Pycnonotus_jocosus,20,37,0.541,Pycnonotidae,Bulbuls
Pycnonotus_finlaysoni,1,4,0.25,Pycnonotidae,Bulbuls
Spizixos_semitorques,6,10,0.6,Pycnonotidae,Bulbuls
Chlorocichla_flaviventris,0,3,0.0,Pycnonotidae,Bulbuls
Pycnonotus_striatus,0,1,0.0,Pycnonotidae,Bulbuls
Bombycilla_garrulus,7,22,0.318,Bombycillidae,Waxwings
Turnix_suscitator,3,28,0.107,Turnicidae,Buttonquails
Turnix_sylvaticus,0,1,0.0,Turnicidae,Buttonquails
Halcyon_smyrnensis,37,44,0.841,Alcedinidae,Kingfishers
Chloropsis_sonnerati,0,2,0.0,Chloropseidae,Leafbirds
Chloropsis_jerdoni,1,11,0.091,Chloropseidae,Leafbirds
Chloropsis_hardwickii,3,6,0.5,Chloropseidae,Leafbirds
Chloropsis_aurifrons,1,11,0.091,Chloropseidae,Leafbirds
Dicaeum_trigonostigma,1,4,0.25,Dicaeidae,Flowerpeckers
Dicaeum_concolor,2,13,0.154,Dicaeidae,Flowerpeckers
Philemon_corniculatus,1,2,0.5,Meliphagidae,Honeyeaters
Lichenostomus_penicillatus,2,2,1.0,Meliphagidae,Honeyeaters
Oriolus_larvatus,2,5,0.4,Oriolidae,Orioles and figbirds
Oriolus_oriolus,24,46,0.522,Oriolidae,Orioles and figbirds
Oriolus_sagittatus,2,2,1.0,Oriolidae,Orioles and figbirds
Columbina_passerina,8,23,0.348,Columbidae,Doves and pigeons
Zenaida_aurita,1,3,0.333,Columbidae,Doves and pigeons
Patagioenas_picazuro,5,6,0.833,Columbidae,Doves and pigeons
Geotrygon_montana,1,10,0.1,Columbidae,Doves and pigeons
Chalcophaps_indica,7,21,0.333,Columbidae,Doves and pigeons
Geotrygon_frenata,0,3,0.0,Columbidae,Doves and pigeons
Columba_oenas,8,18,0.444,Columbidae,Doves and pigeons
Columba_palumbus,16,24,0.667,Columbidae,Doves and pigeons
Patagioenas_inornata,0,2,0.0,Columbidae,Doves and pigeons
Streptopelia_orientalis,16,42,0.381,Columbidae,Doves and pigeons
Streptopelia_decaocto,62,74,0.838,Columbidae,Doves and pigeons
Amblyospiza_albifrons,3,6,0.5,Ploceidae,Weavers and allies
Schiffornis_turdina,0,2,0.0,Cotingidae,Cotingas
Turdus_merula,37,52,0.712,Turdidae,Thrushes
Zoothera_citrina,11,28,0.393,Turdidae,Thrushes
Sialia_mexicana,4,10,0.4,Turdidae,Thrushes
Turdus_viscivorus,8,24,0.333,Turdidae,Thrushes
Zoothera_piaggiae,0,1,0.0,Turdidae,Thrushes
Turdus_obsoletus,0,3,0.0,Turdidae,Thrushes
Turdus_grayi,2,5,0.4,Turdidae,Thrushes
Turdus_torquatus,0,12,0.0,Turdidae,Thrushes
Turdus_maculirostris,1,2,0.5,Turdidae,Thrushes
Myadestes_townsendi,4,11,0.364,Turdidae,Thrushes
Turdus_plumbeus,1,2,0.5,Turdidae,Thrushes
Zoothera_naevia,5,11,0.455,Turdidae,Thrushes
Turdus_mupinensis,1,4,0.25,Turdidae,Thrushes
Petronia_superciliaris,0,1,0.0,Passeridae,"Sparrows, snowfinches and allies"
Pitangus_sulphuratus,18,20,0.9,Tyrannidae,Tyrant-flycatchers
Tyrannus_dominicensis,4,7,0.571,Tyrannidae,Tyrant-flycatchers
Elaenia_chiriquensis,2,8,0.25,Tyrannidae,Tyrant-flycatchers
Emberiza_melanocephala,1,24,0.042,Emberizidae,"Buntings, American sparrows and allies"
Emberiza_leucocephalos,0,3,0.0,Emberizidae,"Buntings, American sparrows and allies"
Emberiza_elegans,3,16,0.188,Emberizidae,"Buntings, American sparrows and allies"
Emberiza_flaviventris,0,3,0.0,Emberizidae,"Buntings, American sparrows and allies"
Miliaria_calandra,4,21,0.19,Emberizidae,"Buntings, American sparrows and allies"
Emberiza_schoeniclus,11,31,0.355,Emberizidae,"Buntings, American sparrows and allies"
Emberiza_bruniceps,1,15,0.067,Emberizidae,"Buntings, American sparrows and allies"
Emberiza_pallasi,1,8,0.125,Emberizidae,"Buntings, American sparrows and allies"
