locality_id,percentage_of_regional_pool_present,number_of_checklists
L2590752,15.165876777251183,198
L3760244,22.398104265402843,616
L3014433,19.677725118483412,48
L2844525,13.322274881516588,106
L1014373,11.76777251184834,41
L2470270,15.421800947867299,815
L6076905,14.734597156398104,113
L7380303,11.374407582938391,54
L3487940,17.526066350710895,156
L2236582,10.625592417061611,422
L1442851,11.549763033175356,238
L2691617,7.0853080568720381,56
L2644585,6.2890995260663507,115
L894569,18.763033175355449,267
L2518200,6.0521327014218018,485
L4807839,18.862559241706158,152
L4702613,29.24170616113744,32
L3213967,7.7345971563981042,57
L2775556,14.924170616113743,692
L3081136,21.260663507109005,79
L3645265,17.587677725118485,89
L2445999,20.582938388625593,356
L459787,23.8957345971564,2356
L1484736,19.118483412322274,203
L2470278,11.085308056872035,442
L1912351,10.545023696682465,94
L3684644,20.981042654028435,170
L1243298,12.881516587677725,174
L3132790,9.511848341232227,57
L4051839,9.6161137440758289,29
L803614,12.611374407582938,18
L7157297,14.398104265402846,23
L2346790,9.8104265402843627,78
L2468319,18.620853080568722,1509
L2212556,13.132701421800947,285
L1053170,9.4502369668246438,604
L3847798,12.497630331753555,40
L3125523,13.374407582938391,26
L7659960,24.51658767772512,446
L1172494,16.606635071090043,223
L6288621,13.075829383886258,26
L9482638,1.9194312796208532,31
L2966745,11.663507109004739,201
L2497102,11.710900473933648,199
L453505,15.336492890995256,1303
L1912202,14.592417061611377,73
L476666,18.701421800947866,443
L6580005,9.2606635071090029,26
L5097797,9.28436018957346,43
L1739708,14.781990521327014,35
L2221129,4.3554502369668242,34
L3329538,6.1611374407582939,15
L3776773,19.616113744075829,155
L679560,15.274881516587676,1164
L3141290,12.341232227488153,78
L3046734,12.909952606635072,298
L806691,21.407582938388625,3048
L9675744,24.938388625592417,18
L912796,11.620853080568718,47
L3749294,23.763033175355449,165
L820845,17.127962085308056,1321
L9321542,17.720379146919431,83
L3665076,19.426540284360193,57
L2703599,7.7962085308056874,20
L5447238,7.8862559241706149,18
L7864833,10.507109004739336,79
L1333093,11.720379146919431,284
L1440871,11.080568720379146,88
L3552750,10.383886255924168,20
L3024997,19.488151658767773,19
L1172385,9.72037914691943,96
L1442992,28.654028436018958,84
L3496470,10.654028436018958,82
L9323145,19.725118483412317,70
L912704,11.440758293838863,189
L3970797,16.744075829383885,69
L164930,23.701421800947873,205
L6163660,5.9241706161137442,48
L9393249,15.838862559241706,19
L483809,18.957345971563981,144
L5287957,7.4028436018957349,68
L3458307,12.488151658767773,79
L2307422,20.170616113744074,477
L3485085,11.644549763033176,20
L4155741,12.962085308056873,20
L1118596,12.018957345971566,93
L803462,16.853080568720376,488
L5683393,21.753554502369663,90
L2696993,10.516587677725118,22
L3092522,15.554502369668246,622
L9367363,27.393364928909953,172
L3137778,18.957345971563981,111
L1912306,21.218009478672986,192
L3612476,14.308056872037914,53
L4811164,21.682464454976305,28
L4681793,11.507109004739336,182
L3676152,12.928909952606638,39
L1440400,4.2085308056872028,405
L4749490,24.66824644549763,27
L1989038,14.616113744075827,99
L1658613,22.037914691943129,1041
L1440386,22.853080568720376,382
L1442371,5.9952606635071088,31
L165056,21.236966824644547,2950
L2515279,10.393364928909953,18
L5820895,25.57345971563981,218
L1171408,10.33175355450237,47
L9321506,18.5260663507109,31
L2102214,21.132701421800949,292
L6338397,14.018957345971565,69
L474576,19.540284360189574,629
L4138063,16.431279620853079,50
L2524505,10.327014218009479,821
L2614932,4.0758293838862558,216
L2827422,13.857819905213271,272
L7731262,13.777251184834125,20
L2386866,12.739336492890994,116
L1138695,17.322274881516584,2171
L3239183,12.701421800947868,65
L7589831,9.62085308056872,168
L1312727,15.037914691943129,147
L4886900,24.772511848341232,2417
L6297698,30.099526066350712,36
L1912155,28.725118483412327,737
L11200338,7.7393364928909962,27
