trophic_niche,top_10_count,top_20_count,increase,top_10_perc,top_20_perc,urban_10_perc,urban_20_perc,top_100_count,total_perc,urban_niche_count,fullness_increase_mean,fullness_increase_sd
Omnivore,15,17,0.13,0.44,0.50,0.56,0.63,34,0.79,27,0.22,0.33
Frugivore, 7, 9,0.29,0.29,0.38,0.58,0.75,24,0.50,12,0.24,0.37
Granivore, 6, 7,0.17,0.60,0.70,0.75,0.88,10,0.80, 8,0.23,0.34
Scavenger, 1, 1,0.00,0.33,0.33,0.33,0.33, 3,1.00, 3,0.22,0.38
Vertivore, 8,14,0.75,0.28,0.48,0.36,0.64,29,0.76,22,0.23,0.40
Invertivore,22,26,0.18,0.32,0.38,0.52,0.62,69,0.61,42,0.14,0.29
Nectarivore, 4, 6,0.50,0.44,0.67,0.67,1.00, 9,0.67, 6,0.26,0.40
Aquatic predator,15,29,0.93,0.26,0.51,0.30,0.58,57,0.88,50,0.39,0.44
Herbivore aquatic, 4, 7,0.75,0.27,0.47,0.29,0.50,15,0.93,14,0.30,0.40
Herbivore terrestrial, 2, 3,0.50,0.22,0.33,0.50,0.75, 9,0.44, 4,0.27,0.44
