niche_name,foraging_niche,trophic_niche,is_noctural,total_species,merlin_10_perc_ratio,merlin_20_perc_ratio,birdlife_10_perc_ratio,birdlife_20_perc_ratio,either_10_perc_ratio,either_20_perc_ratio,both_10_perc_ratio,both_20_perc_ratio,pc1,pc2,pc3,pc4
33 || Omnivore || NA || Diurnal,"NA",Omnivore,FALSE,1,0,0,0,0,0,0,0,0,-2.77537454847579,0.396774019565406,-0.787712157949,0.368141059002241
39 || Omnivore || NA || Diurnal,"NA",Omnivore,FALSE,3,0,0,0,0,0,0,0,0,5.134608856150474,-1.1690365310564934,-1.3214999128244833,-0.050663621227574694
19 || Omnivore || NA || Diurnal,"NA",Omnivore,FALSE,1,0,0,0,0,0,0,0,0,-0.394714692522457,-1.11231005399085,0.440441547021805,-0.284420105074531
3 || Omnivore || NA || Diurnal,"NA",Omnivore,FALSE,1,0,0,0,0,0,0,0,0,-4.23127930372598,-0.843213625210569,0.817821716782389,-0.16190028005205
2 || Omnivore || NA || Nocturnal,"NA",Omnivore,TRUE,1,0,0,0,0,0,0,0,0,3.06305006925112,0.590637292480521,-0.154666446828004,0.0929967610462878
5 || Omnivore || NA || Diurnal,"NA",Omnivore,FALSE,3,0,0,0,0,0,0,0,0,1.8738109749266,0.568230697899078,-0.5393477554942737,0.014007328029005658
12 || Omnivore || NA || Diurnal,"NA",Omnivore,FALSE,1,0,0,0,0,0,0,0,0,5.78907469542583,-1.60853982216705,-0.684022591589068,-0.263828814641517
14 || Omnivore || NA || Diurnal,"NA",Omnivore,FALSE,1,0,0,0,0,0,0,0,0,-0.867058685212044,-1.63601945479136,0.67218233379301,0.814564533729672
57 || Omnivore || NA || Diurnal,"NA",Omnivore,FALSE,1,0,0,0,0,0,0,0,0,3.72922427911929,-1.26024052651477,1.49398876641565,-0.979074849923087
66 || Omnivore || NA || Diurnal,"NA",Omnivore,FALSE,2,0,0,0,0,0,0,0,0,3.5733603960114353,1.543234169633485,0.6693933499850335,-0.3393222907164385
36 || Omnivore || NA || Diurnal,"NA",Omnivore,FALSE,1,0,0,0,0,0,0,0,0,6.30238336736727,-1.68410074300665,0.558656129606166,-0.175709084307422
5 || Omnivore || NA || Nocturnal,"NA",Omnivore,TRUE,2,0,0,0,0,0,0,0,0,1.496920982803445,0.2021957698992416,-0.175130817495636,0.5862115355537401
23 || Omnivore || NA || Diurnal,"NA",Omnivore,FALSE,7,0,0,0,0,0,0,0,0,6.645527843155789,0.0705898101779025,1.0139862741138792,-0.6951746927173597
44 || Omnivore || NA || Diurnal,"NA",Omnivore,FALSE,5,0.2,0.2,0,0,0,0,0.2,0.2,7.3348925532688,-1.4589574492367219,0.13651956211755775,-0.35524103407451024
