explanatory,species_merlin_10_estimate,species_merlin_10_p,model,species_birdlife_10_estimate,species_birdlife_10_p,species_both_10_estimate,species_both_10_p,species_either_10_estimate,species_either_10_p
is_nocturnalTRUE,-0.031071261908960122,0.4902998,full,-0.016939986161684534,0.6355686,-0.01814309860442795,0.6107923,-0.01829364833651674,0.6191034
pc3,-0.042492324036313395,0.15,full,-0.027305991990471373,0.3655754,-0.02781970858310765,0.330796,-0.03394962300147202,0.2694807
pc4,0.020400387024722386,0.4917321,full,0.013672428225056581,0.5958245,0.0031832369575941696,0.8451899,0.05864937971385943,0.1221372
pc1,-0.001503241436840599,0.6948791,full,-7.641151069675864e-5,0.9802051,4.955136740350355e-4,0.8757868,-0.0018623348219209135,0.6560963
pc2,-0.0029047583118295044,0.7670392,full,-4.1738749745622494e-4,0.9604794,-0.00256364275867631,0.7832221,-0.0035565798588542362,0.7335254
trophic_nicheFrugivore,-0.005552576681867932,0.8320189,full,-0.02262109490443617,0.6578702,-0.008267400130028975,0.8082672,-0.011334370069454085,0.7735349
trophic_nicheGranivore,0.00985908508726492,0.8135733,full,0.040665723229522006,0.6228115,0.04430302973042417,0.6110413,0.009576662603607506,0.8098917
trophic_nicheHerbivore aquatic,0.0023615417852260417,0.905441,full,0.0039709721999327575,0.9067276,0.009010918691208085,0.7937617,-0.0021441379027931197,0.924001
trophic_nicheHerbivore terrestrial,6.579837186136986e-4,0.9771232,full,-0.013039095868653212,0.7849814,9.88862411691477e-4,0.9799531,-0.006270551661267095,0.847502
trophic_nicheInvertivore,-0.0023695662515806227,0.8840434,full,-0.0035883855367987937,0.8935488,-0.002940793260454681,0.9071307,-0.0048238279603738015,0.8243681
trophic_nicheNectarivore,0.0044591339142023845,0.8676904,full,0.01587202632275113,0.7395473,0.01893212583624322,0.702179,0.006814001102825192,0.835859
trophic_nicheOmnivore,0.005777972860309531,0.8135487,full,0.021254186397897185,0.6345267,0.010674718060151281,0.7250956,0.005948572084919795,0.8037487
trophic_nicheScavenger,-0.005460068460054393,0.8949358,full,-0.017111612750141246,0.816508,-0.0262786003509917,0.7363529,-0.005270057201653166,0.9079722
trophic_nicheVertivore,-0.004287222362666058,0.8489258,full,-0.010564884799411117,0.7718094,-0.022250264801960493,0.6475003,-0.008341563713662849,0.7916355
is_nocturnalTRUE,-0.06342543566907517,0.1652511,subset,-0.04576011680221985,0.3217525,-0.04656431274798013,0.2901962,-0.047839124598345974,0.2996964
pc3,-0.05175632368220761,0.0318959,subset,-0.04383569187721628,0.1065034,-0.04249203496833492,0.0895565,-0.04730918704516243,0.0706967
pc4,0.04187638084071826,0.1645682,subset,0.03433287083524893,0.2676146,0.011483960119548857,0.6959402,0.06985649535511194,0.0220937
pc1,-0.004526022241368555,0.4127929,subset,-2.902143029800818e-4,0.9614004,0.0018032248947028968,0.7578589,-0.005229792117983046,0.3514666
pc2,-0.009672566692956602,0.5444438,subset,-0.0015906319414295928,0.9226717,-0.00865042258066779,0.5768449,-0.011335773318442008,0.4817733
trophic_nicheFrugivore,-0.07352762741948479,0.249463,subset,-0.08970807097951088,0.1727379,-0.033217411813164524,0.5916836,-0.11108774427921242,0.0836883
trophic_nicheGranivore,0.13055472738641158,0.1287985,subset,0.16126733039750854,0.0653428,0.17800420446339438,0.0295195,0.09386051803839568,0.2823035
trophic_nicheHerbivore aquatic,0.031271709418559876,0.6345923,subset,0.01574761334383391,0.8117051,0.036204779286490324,0.5564097,-0.021014616744053524,0.7555133
trophic_nicheHerbivore terrestrial,0.008713068631415952,0.9164717,subset,-0.05170890899115586,0.5382316,0.0039731293319656595,0.9597911,-0.0614574462601767,0.4635317
trophic_nicheInvertivore,-0.03137796999021241,0.5371528,subset,-0.014230396264942418,0.7841996,-0.011815750931793786,0.8112661,-0.047278160464609705,0.3559632
trophic_nicheNectarivore,0.059048178141821506,0.4556223,subset,0.06294341056280152,0.4193877,0.07606698726446409,0.3051791,0.06678377425392946,0.4108843
trophic_nicheOmnivore,0.07651234013571771,0.128638,subset,0.08428734639278677,0.0992917,0.042889723518465664,0.3732869,0.058301736271776726,0.2495694
trophic_nicheScavenger,-0.0723026267654719,0.5878991,subset,-0.0678592162602412,0.6142077,-0.10558423156052103,0.4053853,-0.05165163685027501,0.7000487
trophic_nicheVertivore,-0.056771712775436634,0.3524676,subset,-0.041896974460332866,0.5050186,-0.08939886751024967,0.1313871,-0.08175535923336652,0.1829643
