scientific_name,regional_pool_count,city_count,pc1,pc2,pc3,pc4,trophic_niche,foraging_niche,is_noctural,iucn_red_list_2020,realm,cluster,cluster_half,cluster_double
Grus grus,8,1,6.09904098264289,0.504319451409561,1.02247809364013,-0.558651473325288,Omnivore,"NA",FALSE,LC,Palearctic,47,2,147
Grus japonensis,1,0,6.88067395809956,0.254577515027157,1.10108415734531,-0.775440740865519,Omnivore,"NA",FALSE,EN,Palearctic,23,20,32
Antigone vipio,2,0,6.24622461251778,-0.0123666784993999,1.03139039979662,-0.671135316948104,Omnivore,"NA",FALSE,VU,Palearctic,23,20,32
Balearica regulorum,2,1,5.82564424906405,0.799492657500328,0.227798212840562,-0.380185824925282,Omnivore,"NA",FALSE,EN,Afrotropic,2,2,89
Antigone antigone,11,1,6.65841477619747,0.0478811753642725,0.94627339768484,-0.794281568009983,Omnivore,"NA",FALSE,VU,Indo_Malay,23,20,32
Antigone canadensis,10,5,5.84536426614362,0.25998864284951,1.14322822900765,-0.623798761109522,Omnivore,"NA",FALSE,LC,Nearctic,47,2,147
Anthropoides virgo,6,0,5.01559970917919,0.762875045298561,0.684171932485883,-0.46662882716913,Omnivore,"NA",FALSE,LC,Palearctic,2,2,182
Balearica pavonina,1,0,5.71993476724166,0.818567512586296,0.213944360502939,-0.421515870180718,Omnivore,"NA",FALSE,VU,Afrotropic,2,2,89
Grus americana,1,0,6.53179140602415,0.169735499813483,0.940167590766528,-0.622721561431544,Omnivore,"NA",FALSE,EN,Nearctic,23,20,32
Anthropoides paradiseus,1,0,6.15002322542005,0.394480653480969,0.620867789394872,-0.53746559825944,Omnivore,"NA",FALSE,VU,Afrotropic,47,2,105
Ciccaba albitarsis,3,0,3.06305006925112,0.590637292480521,-0.154666446828004,0.0929967610462878,Omnivore,"NA",TRUE,LC,Neotropic,2,2,2
Athene noctua,22,6,1.36339839296663,0.454545286605513,-0.142661168427618,0.550471215503269,Omnivore,"NA",TRUE,LC,Palearctic,5,1,5
Glaucidium peruanum,2,1,0.153949384112456,0.125661587539427,-0.251515451294713,0.607621472773348,Omnivore,"NA",TRUE,LC,Neotropic,1,1,1
Mirafra affinis,5,5,-0.807798478643492,0.0240107721099318,0.0501079194698414,0.338005696663763,Omnivore,"NA",FALSE,LC,Indo_Malay,1,1,1
Mirafra erythrocephala,1,0,-0.913859740356222,0.12724645800022,0.0965665500076956,0.453982442036326,Omnivore,"NA",FALSE,LC,Indo_Malay,1,1,1
Calandrella blanfordi,1,0,-1.11023674958502,0.236827166057721,-0.275964459324876,0.0730653710356369,Omnivore,"NA",FALSE,LC,Palearctic,1,1,1
Ammomanes phoenicura,13,5,-0.719350742901751,0.0873105120945263,-0.343745262219399,0.24580092207514,Omnivore,"NA",FALSE,LC,Indo_Malay,1,1,1
Galerida malabarica,5,1,-0.509107672979612,0.107082214678342,0.0890011283646615,0.202287457249455,Omnivore,"NA",FALSE,LC,Palearctic,1,1,1
Mirafra javanica,1,0,-1.03781773953783,0.0521989498451305,-0.114077518110668,0.419381603425121,Omnivore,"NA",FALSE,LC,Australian,1,1,1
Calandrella dukhunensis,9,0,-1.11023674958502,0.236827166057721,-0.275964459324876,0.0730653710356369,Omnivore,"NA",FALSE,LC,Palearctic,1,1,1
Calendulauda alopex,1,0,-0.771618204579214,0.121708284955207,0.00955926912716015,0.127150665952976,Omnivore,"NA",FALSE,LC,Afrotropic,1,1,1
Ammomanes deserti,3,0,-0.85127355886977,0.0960193866240222,-0.194422902193566,-0.0263209814407612,Omnivore,"NA",FALSE,LC,Palearctic,1,1,1
Alauda arvensis,37,13,-0.54184625653908,0.471539656087365,-0.152156243877999,-0.00395043129696963,Omnivore,"NA",FALSE,LC,Palearctic,1,1,1
Alaudala somalica,1,0,-1.08587733165141,0.0994793580150508,-0.234270473899117,0.254105337231081,Omnivore,"NA",FALSE,LC,Afrotropic,1,1,1
Galerida theklae,3,1,-0.454365040752436,0.270977627103514,0.0438148882255226,-0.0299390370670778,Omnivore,"NA",FALSE,LC,Palearctic,1,1,1
Lullula arborea,16,3,-1.1065304328384,0.513796990618661,0.145843708478963,-0.0857984690035092,Omnivore,"NA",FALSE,LC,Palearctic,1,1,1
Galerida deva,7,1,-1.16395994971548,0.0692651237902828,-0.180824694898575,0.255023217974882,Omnivore,"NA",FALSE,LC,Indo_Malay,1,1,1
Eremophila alpestris,25,11,-0.660781910126652,0.417218750761213,-0.113334708632278,-0.0594350623808999,Omnivore,"NA",FALSE,LC,Palearctic,1,1,1
Mirafra erythroptera,15,4,-1.18778991482595,0.147003896902759,-0.112485920242546,0.293802044817891,Omnivore,"NA",FALSE,LC,Indo_Malay,1,1,1
Melanocorypha mongolica,1,0,0.0256171089601817,0.141677012411432,-0.0963293230450206,0.1117694630105,Omnivore,"NA",FALSE,LC,Palearctic,1,1,1
Eremopterix hova,1,0,-1.27555856418093,0.0972692182919388,-0.10671129503865,0.301457941966057,Omnivore,"NA",FALSE,LC,Madagascar,1,1,1
Mirafra assamica,7,4,-0.809455830346926,0.0573641685325772,-0.0738208025509235,0.360518061471344,Omnivore,"NA",FALSE,LC,Indo_Malay,1,1,1
Alauda gulgula,29,9,-0.963660941550891,0.285670646400243,0.0351022845698914,0.147714459376119,Omnivore,"NA",FALSE,LC,Indo_Malay,1,1,1
