scientific_name,regional_pool_count,city_count,pc1,pc2,pc3,pc4,trophic_niche,foraging_niche,is_noctural,iucn_red_list_2020,realm,cluster,cluster_half,cluster_double
Pelecanus occidentalis,23,9,6.52888507255597,-2.15106262708,0.790532025913052,-0.0508123753524052,Aquatic predator,Aquatic plunge,FALSE,LC,Neotropic,20,19,27
Aythya collaris,33,21,3.09278714103896,-0.38288625100747,0.667262301734416,0.829330320969522,Herbivore aquatic,Herbivore aquatic dive,FALSE,LC,Nearctic,6,5,6
Macheiramphus alcinus,10,0,3.36657428151625,0.63487552903317,-0.138794594935085,-0.309849186462642,Vertivore,Vertivore aerial,FALSE,LC,Afrotropic,2,2,2
Pelecanus conspicillatus,3,2,7.30661425275904,-2.2028968955126,0.90751435216269,-0.188241810244405,Aquatic predator,Aquatic surface,FALSE,LC,Australian,20,19,27
Rynchops niger,23,8,3.07115021542472,-1.24195590418532,0.274274450068511,-0.467638874732822,Aquatic predator,Aquatic aerial,FALSE,LC,Neotropic,1,1,167
Sagittarius serpentarius,9,0,6.21437664454428,0.804596908169901,-0.349773721842563,-0.659834512171311,Vertivore,Vertivore ground,FALSE,EN,Afrotropic,2,2,174
Cathartes aura,44,34,4.63734763421362,0.448332227749762,-0.339256301498,-0.349398768756671,Scavenger,Scavenger ground,FALSE,LC,Neotropic,2,2,2
Neophron percnopterus,40,2,4.78863229332988,0.559402307094916,0.240849818095932,-0.610600512261474,Scavenger,Scavenger ground,FALSE,EN,Palearctic,2,2,26
Hieraaetus ayresii,5,0,3.81199493958472,0.628133584487922,-0.433342382586593,-0.135980278350668,Vertivore,Vertivore aerial,FALSE,LC,Afrotropic,2,2,2
Falco concolor,7,1,2.01306356393132,0.508248066167865,-0.379562650031813,0.198751631870195,Vertivore,Vertivore aerial,FALSE,VU,Palearctic,5,1,5
Pelecanus rufescens,9,3,7.18118071986999,-2.01140825535575,0.791225245391971,-0.26296912496739,Aquatic predator,Aquatic surface,FALSE,LC,Afrotropic,20,19,27
Coccyzus rufigularis,1,0,2.02503878338438,-0.373091328649588,-0.699156227807013,-0.72337715130937,Vertivore,Vertivore arboreal,FALSE,EN,Neotropic,4,4,4
Porphyrio pulverulentus,1,0,3.53169403948638,0.120645241743707,0.541476051967281,0.387605502829941,Herbivore aquatic,Herbivore aquatic ground,FALSE,LC,Indo_Malay,6,5,6
Sterna forsteri,21,11,1.56101784044779,-0.360769896061253,0.257401910475675,-0.625310307095261,Aquatic predator,Aquatic plunge,FALSE,LC,Nearctic,1,1,1
Sterna trudeaui,3,1,1.63191370028542,-0.413376152069827,0.250289388520956,-0.729973398628287,Aquatic predator,Aquatic plunge,FALSE,LC,Neotropic,1,1,1
Oxyura vittata,2,1,2.82122815600045,-0.194894728986808,0.582060854342612,0.767542725321403,Herbivore aquatic,Herbivore aquatic dive,FALSE,LC,Neotropic,6,5,6
Phytotoma rara,1,1,-0.0130237628165159,0.0493045966467863,-0.405542720241463,0.396050494687003,Herbivore terrestrial,Herbivore arboreal,FALSE,LC,Neotropic,1,1,1
Psophia crepitans,1,0,3.77731191205853,0.982909710530848,0.433330390533932,-0.0807387082805496,Frugivore,Fugivore ground,FALSE,NT,Neotropic,2,2,2
Anas castanea,2,2,2.99226584929551,-0.120552443656903,0.349305793993981,0.483957753197499,Aquatic predator,Aquatic surface,FALSE,LC,Australian,6,5,6
Gyps tenuirostris,6,0,6.19576757176497,0.289630816820995,0.182275471995441,0.0036155242903072,Scavenger,Scavenger ground,FALSE,CR,Indo_Malay,24,2,35
Porphyrio indicus,1,1,3.53169403948638,0.120645241743707,0.541476051967281,0.387605502829941,Herbivore aquatic,Herbivore aquatic ground,FALSE,LC,Indo_Malay,6,5,6
Podiceps occipitalis,5,0,1.29507747061205,0.821355108954558,1.27095275571063,0.752974980265195,Aquatic predator,Aquatic surface,FALSE,LC,Neotropic,38,1,74
Pelecanus thagus,2,1,6.8433689725577,-2.22422572303948,0.68257370829611,-0.260093270343112,Aquatic predator,Aquatic plunge,FALSE,NT,Neotropic,20,19,27
Stercorarius longicaudus,9,1,2.2225184026969,0.823186689748607,-0.43381585176358,-0.716088188845737,Aquatic predator,Aquatic aerial,FALSE,LC,Nearctic,4,4,4
Falco peregrinus,138,46,3.41394970678526,0.309979215964015,-0.109335983660795,0.237991292269321,Vertivore,Vertivore aerial,FALSE,LC,Palearctic,2,2,2
Gypaetus barbatus,8,0,6.43030367976548,0.391506377762234,-0.275422806372109,-0.477982640042503,Scavenger,Scavenger ground,FALSE,NT,Palearctic,2,2,2
Polyboroides typus,9,4,3.88813764761261,0.637353719407054,-0.638777427755243,-0.608699907287066,Vertivore,Vertivore arboreal,FALSE,LC,Afrotropic,2,2,2
Sterna acuticauda,26,0,1.38588037894232,-0.30418047502174,0.254839109051001,-0.811089948366908,Aquatic predator,Aquatic plunge,FALSE,EN,Indo_Malay,1,1,1
Chlidonias leucopterus,51,5,0.214430368080558,-0.143194812582897,0.209028250170151,-0.504490883146084,Aquatic predator,Aquatic aerial,FALSE,LC,Palearctic,1,1,1
Opisthocomus hoazin,1,0,3.52032746690764,0.856920565706961,-0.610910302901029,-0.385997053720152,Herbivore terrestrial,Herbivore arboreal,FALSE,LC,Neotropic,2,2,2
Centropus sinensis,40,35,3.01825264333236,-0.284307468075721,-0.624288287280318,-0.566118828980334,Vertivore,Vertivore ground,FALSE,LC,Indo_Malay,4,4,4
Chlidonias hybrida,74,28,0.821749076360522,-0.206466907927974,0.225938276657111,-0.45788332204873,Aquatic predator,Aquatic aerial,FALSE,LC,Afrotropic,1,1,1
Porphyrio madagascariensis,10,6,3.53169403948638,0.120645241743707,0.541476051967281,0.387605502829941,Herbivore aquatic,Herbivore aquatic ground,FALSE,LC,Indo_Malay,6,5,6
Chauna torquata,2,1,5.45085330276416,1.24879985881943,0.259218702306744,-0.0637879553579856,Herbivore aquatic,Herbivore aquatic ground,FALSE,LC,Neotropic,2,2,143
Coragyps atratus,33,28,4.79069723541639,0.387212364836055,0.11549659495859,-0.246884545518873,Scavenger,Scavenger ground,FALSE,LC,Neotropic,2,2,26
Torgos tracheliotos,9,0,6.9384172993728,0.0334380433977073,-0.264856426162861,-0.0496814688789476,Scavenger,Scavenger ground,FALSE,EN,Afrotropic,34,2,77
Gymnogyps californianus,4,0,7.08108708397459,0.0460094830724127,-0.186925783995114,-0.108944546797864,Scavenger,Scavenger ground,FALSE,CR,Nearctic,34,2,77
Gyps bengalensis,30,0,5.97481961657173,0.207985413638544,0.0102085046672353,0.178989836346935,Scavenger,Scavenger ground,FALSE,CR,Indo_Malay,24,2,35
Oxyura australis,2,1,3.023218499618,-0.183503010168743,0.685935517466108,0.935693655790102,Herbivore aquatic,Herbivore aquatic dive,FALSE,NT,Australian,6,5,6
Pelecanus crispus,25,2,7.85898464837233,-1.94825412390798,0.864492245539388,-0.248640715908766,Aquatic predator,Aquatic surface,FALSE,NT,Palearctic,68,19,164
Sternula superciliaris,9,0,0.112413668781702,-0.693975585625989,0.362533253525452,-0.353124962900864,Aquatic predator,Aquatic plunge,FALSE,LC,Neotropic,1,1,1
Cathartes burrovianus,13,2,4.13214829765256,0.359607671690935,-0.442362832302552,-0.485859844757411,Scavenger,Scavenger ground,FALSE,LC,Neotropic,2,2,2
Gyps fulvus,31,1,6.65230724144217,0.328314060692076,-0.0469912598700302,-0.044360443746525,Scavenger,Scavenger ground,FALSE,LC,Palearctic,34,2,56
Pelecanus onocrotalus,27,8,7.74490470029659,-1.86215185884323,0.91660154470925,-0.0169120625421901,Aquatic predator,Aquatic surface,FALSE,LC,Palearctic,68,19,164
Haliaeetus leucoryphus,22,0,5.59851522249741,0.289636451056695,-0.260721781880153,-0.176517386962981,Aquatic predator,Aquatic aerial,FALSE,EN,Palearctic,2,2,2
Pteronetta hartlaubii,1,0,3.63288278842409,-0.24726372417967,0.182836020293627,0.422177705051251,Aquatic predator,Aquatic surface,FALSE,LC,Afrotropic,6,5,6
Gyps coprotheres,4,0,6.73207231889997,0.279904929571657,0.0380099399579623,0.0402340059760591,Scavenger,Scavenger ground,FALSE,EN,Afrotropic,34,2,56
Falco columbarius,77,14,1.56401804230298,0.6334773653361,-0.37515138583176,0.24235228339822,Vertivore,Vertivore aerial,FALSE,LC,Nearctic,5,1,5
Phoeniconaias minor,15,4,5.15497929194555,-0.806685138076082,0.535183426566976,0.502406672261632,Herbivore aquatic,Herbivore aquatic ground,FALSE,NT,Afrotropic,48,30,111
Phytotoma rutila,1,1,-0.279970926843644,0.230808784831837,-0.455593229630128,0.239319816007009,Herbivore terrestrial,Herbivore arboreal,FALSE,LC,Neotropic,1,1,1
Saltator maxillosus,2,1,0.404626602175608,-0.288429762305829,-0.743373479793927,0.378131634458749,Herbivore terrestrial,Herbivore arboreal,FALSE,LC,Neotropic,1,1,1
Aythya fuligula,78,21,2.96596500564304,-0.266023566888901,0.626393747673001,0.996611498614549,Herbivore aquatic,Herbivore aquatic dive,FALSE,LC,Palearctic,6,5,6
Anas capensis,5,2,2.59540962572666,-0.431300982945094,0.436506246359511,0.628705885914639,Aquatic predator,Aquatic surface,FALSE,LC,Afrotropic,6,5,6
Sarcogyps calvus,28,0,6.07780149961238,0.203584435679824,-0.0252168297481477,0.135349985419175,Scavenger,Scavenger ground,FALSE,CR,Indo_Malay,24,2,35
Sterna hirundo,87,24,1.24242376574555,-0.246339121704367,0.338810159787776,-0.768606813981314,Aquatic predator,Aquatic plunge,FALSE,LC,Palearctic,1,1,1
Accipiter superciliosus,9,0,0.959286943128141,0.423945499167174,-0.378552214555908,0.177955335055722,Vertivore,Vertivore aerial,FALSE,LC,Neotropic,1,1,1
Athene cunicularia,31,13,1.62042962674123,0.174303147390304,-0.168404704151952,0.315525284077782,Vertivore,Vertivore ground,TRUE,LC,Neotropic,5,1,5
