explanatory,species_merlin_estimate,species_merlin_p,model,species_birdlife_estimate,species_birdlife_p,species_both_estimate,species_both_p,species_either_estimate,species_either_p
foraging_nicheAquatic dive,0.43468146871848584,4.79e-5,full,0.4657985953426167,2.25e-5,0.42003349160013365,7.079e-4,0.45950436644410464,1.6e-6
foraging_nicheAquatic ground,0.22846280563882487,0.0200713,full,0.1563542981458903,0.1262142,0.20697657423181504,0.0732853,0.17318652979735052,0.0498305
foraging_nicheAquatic perch,0.21341796664312676,0.0610778,full,0.14023219250418628,0.2204823,0.17709999751940778,0.176071,0.15362193910804253,0.126926
foraging_nicheAquatic plunge,0.17120555814362906,0.2360126,full,0.1335422300437471,0.3561374,0.2057287234430506,0.2056059,0.09169350430540543,0.4816659
foraging_nicheAquatic surface,0.40113004206870945,0.0014427,full,0.30058660164733336,0.016043,0.4017332494429837,0.0050638,0.29794763762716325,0.0072102
foraging_nicheFugivore aerial,0.30128570949688355,0.1287567,full,0.13994763430192567,0.4870139,0.17926799431675103,0.4995794,0.19934256035076353,0.1973344
foraging_nicheFugivore glean,0.4018432414538567,0.0361739,full,0.29673641122193756,0.1292823,0.3360227968685935,0.1922268,0.31255919779269203,0.0362428
foraging_nicheFugivore ground,0.1640507490439301,0.5020946,full,0.1361264702598573,0.5784083,0.03549010738312292,0.9151513,0.17115553854539578,0.380509
foraging_nicheGeneralist,0.22617376857263416,0.0824371,full,0.1732022148173556,0.1959044,0.20170506266801833,0.1739514,0.17630869753498224,0.1306315
foraging_nicheGranivore arboreal,0.17373406845594605,0.217398,full,0.1889320111784637,0.1873099,0.1823993329759547,0.2342208,0.1584440525217539,0.2070843
foraging_nicheGranivore ground,0.2339591344370369,0.0911646,full,0.22557238853871814,0.1108471,0.21998207978999326,0.1433235,0.2052655940160776,0.0977022
foraging_nicheHerbivore aquatic dive,0.26497192303306843,0.1673804,full,0.23482092861953663,0.221255,0.3381178496008768,0.0851651,0.1424630105293827,0.4227551
foraging_nicheHerbivore aquatic ground,0.29139005772971976,0.1338345,full,-0.017289792347765738,0.9358648,0.2363042537983415,0.3413993,0.1731280800561216,0.3358877
foraging_nicheHerbivore aquatic surface,0.2725953203118902,0.1129606,full,0.28110529431306736,0.1060634,0.3762072013114573,0.0306936,0.19417493998987953,0.2254066
foraging_nicheHerbivore arboreal,0.9087787506746521,0.0247828,full,0.5504041615632899,0.0727672,0.42790286188125026,0.0776013,0.7177494943429237,0.0042253
foraging_nicheHerbivore ground,0.43468868596862126,0.2416702,full,0.3475808981253954,0.1583633,0.09991078714630858,0.4406404,0.3599082198329815,0.0756761
foraging_nicheInvertivore aerial,0.27989454651936735,0.0383262,full,0.17875539602016527,0.1931003,0.2377418568578163,0.119551,0.20497189043244002,0.0894109
foraging_nicheInvertivore bark,0.1786329547254594,0.1839715,full,0.13164860519576024,0.3368045,0.16480927868601095,0.2807792,0.13222554079736903,0.2711847
foraging_nicheInvertivore glean arboreal,0.19826555102760263,0.1352437,full,0.12109839766791126,0.3715953,0.17540883463060866,0.2438086,0.1354906335047858,0.2544736
foraging_nicheInvertivore ground,0.21053110400527594,0.1143247,full,0.1332703776252799,0.3272579,0.17489506966009852,0.2474918,0.15327016193567009,0.1987351
foraging_nicheInvertivore sally air,0.21750861086361842,0.1061334,full,0.12166734635921636,0.3740913,0.18339275847730233,0.2284821,0.13840399141841053,0.2500758
foraging_nicheInvertivore sally ground,0.2385390018131954,0.0782225,full,0.13702079322229738,0.3194346,0.1875597103272056,0.2216363,0.17028041856988513,0.1587894
foraging_nicheInvertivore sally surface,0.0693816941981585,0.6065635,full,1.775224844745287e-4,0.9989667,0.00527386012477406,0.9724812,0.03698697490672466,0.7585041
foraging_nicheNectarivore aerial,0.02329587763594336,0.91864730000000006,full,0.04418458947780279,0.8353316,0.05466212507025279,0.8031594,0.011933112046596365,0.9544875
foraging_nicheNectarivore glean,0.24152199932001536,0.296868,full,0.2419022519591469,0.26054,0.3062929773663625,0.170038,0.19849940691187706,0.3477509
foraging_nicheOmnivore,0.1925660259918769,0.0450317,full,0.15367201741330905,0.1265611,0.19569051490417427,0.0833862,0.15313255978402573,0.0769353
foraging_nicheScavenger ground,0.029943113914955764,0.8068681,full,0.02624524533306564,0.8307741,-0.004521207720402879,0.9742339,0.038206865796838574,0.7254001
foraging_nicheVertivore aerial,0.2673961242479011,0.1431883,full,0.16464958218045792,0.3490609,0.19282522015606157,0.3810925,0.18818764921900785,0.2210607
foraging_nicheVertivore air to surface,0.2631077977606916,0.1111188,full,0.17817403470310553,0.2704231,0.1723799829300064,0.3963608,0.2094663625348804,0.132891
